name,age,"contact 1","contact 2","contact 3","attribute 1","value 1","notes 1","attribute 2","value 2","notes 2","attribute 3","value 3","notes 3",other_info
"Jazmin Hartmann PhD",70,fcarroll@smith.com,,,,,,,,,,,,"a:1:{s:13:""random-string"";s:1:""%"";}"
"Dr. Adelbert Hansen DVM",25,,,,"favorite vacation spot",Damionhaven,,,,,,,,"a:1:{s:13:""random-string"";s:1:""%"";}"
"Shanelle Little",35,,,,,,,,,,,,,"a:1:{s:13:""random-string"";s:1:""@"";}"
"Dr. Douglas Hermann",75,,rick.botsford@yahoo.com,marietta75@russel.info,"hair color",DimGrey,"Rerum sint illo voluptatem id tempora suscipit voluptatibus.",,,,"favorite food",spaghetti,"Tempora dolorem velit porro illo voluptate occaecati ad.","a:1:{s:13:""random-string"";s:1:""."";}"
"Gianni O'Conner",99,,wheller@brekke.org,,,,,,,,,,,"a:1:{s:13:""random-string"";s:1:""M"";}"
"Hillard Russel",98,yvette.oberbrunner@gmail.com,,eudora88@hotmail.com,,,,weight,249lb,"Eligendi quibusdam tempore neque autem vitae maiores temporibus quia.",weight,193lb,,"a:1:{s:13:""random-string"";s:1:""<"";}"
"Noemy Mertz DVM",90,mason95@nitzsche.com,,nader.abraham@gmail.com,,,,"favorite vacation spot","New Lily","Doloremque optio libero commodi excepturi nesciunt labore.",,,,"a:1:{s:13:""random-string"";s:1:""S"";}"
"Ricardo Bayer",45,,gretchen.lynch@gmail.com,,,,,"favorite food",spaghetti,,,,,"a:1:{s:13:""random-string"";s:1:""*"";}"
"Shanelle Beahan",34,thiel.joelle@prohaska.com,albina80@dicki.com,agrady@yahoo.com,,,,height,"5ft 9in",,"favorite food",spaghetti,,"a:1:{s:13:""random-string"";s:1:""M"";}"
"Linnea Lemke",70,,pkirlin@gmail.com,,"favorite food",pho,,"favorite food",turkey,,weight,109lb,"Non tempora quaerat qui in.","a:1:{s:13:""random-string"";s:1:"","";}"
"Edythe Ortiz",53,,fwolf@mayer.net,,,,,"hair color",DarkSlateBlue,,"favorite vacation spot",Feestchester,,"a:1:{s:13:""random-string"";s:1:""2"";}"
"Kari Upton",62,dwolf@stokes.com,,coy11@yahoo.com,,,,weight,103lb,"Non officia quos praesentium.","favorite vacation spot","North Oma",,"a:1:{s:13:""random-string"";s:1:""("";}"
"Lewis Kshlerin",34,prenner@lind.net,jamison.hills@greenfelder.biz,,"favorite food",cheeseburgers,,height,"7ft 1in","Magnam accusantium explicabo id deserunt minima minus.",height,"5ft 3in",,"a:1:{s:13:""random-string"";s:1:""T"";}"
"Gaston Emmerich",26,,zelda.walter@effertz.org,,height,"5ft 1in","Explicabo ut et delectus id natus aut.",height,"7ft 3in","Fugit repudiandae dolorem neque asperiores.",height,"5ft 7in","Reprehenderit voluptas incidunt sed dolor et esse placeat.","a:1:{s:13:""random-string"";s:1:""p"";}"
"Braeden Shanahan",21,,,jeremie.herzog@gmail.com,,,,"favorite vacation spot",Renemouth,,,,,"a:1:{s:13:""random-string"";s:1:""9"";}"
"Ms. Litzy Reichert Jr.",33,wweber@anderson.com,gail.walker@miller.net,rod90@runolfsdottir.com,,,,,,,,,,"a:1:{s:13:""random-string"";s:1:""T"";}"
"Mr. Arnulfo Hayes Sr.",59,,reichert.mona@hotmail.com,pjohnson@yahoo.com,"favorite vacation spot",Bednarshire,"Repellendus minima dicta labore architecto aliquam.",,,,"favorite food","peanut butter",,"a:1:{s:13:""random-string"";s:1:""}"";}"
"Dr. Raymundo Armstrong IV",53,rutherford.isaiah@funk.org,twilkinson@davis.com,frida.ondricka@rippin.info,,,,weight,117lb,,"hair color",BlanchedAlmond,,"a:1:{s:13:""random-string"";s:1:""G"";}"
"Prof. Maxwell Kassulke",27,cristopher41@hotmail.com,,mayra10@rogahn.com,,,,"favorite vacation spot",Corwinberg,,,,,"a:1:{s:13:""random-string"";s:1:""F"";}"
"Dr. Florencio Barrows",63,wehner.dejuan@eichmann.com,frieda.pollich@gmail.com,,"favorite food",pho,,,,,,,,"a:1:{s:13:""random-string"";s:1:""a"";}"
